symbol,iri,curie
LAT,https://purl.brain-bican.org/ontology/mbao/MBA_138,MBA:138
LAV,https://purl.brain-bican.org/ontology/mbao/MBA_209,MBA:209
LC,https://purl.brain-bican.org/ontology/mbao/MBA_147,MBA:147
LD,https://purl.brain-bican.org/ontology/mbao/MBA_155,MBA:155
LDT,https://purl.brain-bican.org/ontology/mbao/MBA_162,MBA:162
LGd,https://purl.brain-bican.org/ontology/mbao/MBA_170,MBA:170
LGd-co,https://purl.brain-bican.org/ontology/mbao/MBA_496345668,MBA:496345668
LGd-ip,https://purl.brain-bican.org/ontology/mbao/MBA_496345672,MBA:496345672
LGd-sh,https://purl.brain-bican.org/ontology/mbao/MBA_496345664,MBA:496345664
LGv,https://purl.brain-bican.org/ontology/mbao/MBA_178,MBA:178
LH,https://purl.brain-bican.org/ontology/mbao/MBA_186,MBA:186
LHA,https://purl.brain-bican.org/ontology/mbao/MBA_194,MBA:194
LIN,https://purl.brain-bican.org/ontology/mbao/MBA_203,MBA:203
LM,https://purl.brain-bican.org/ontology/mbao/MBA_210,MBA:210
LP,https://purl.brain-bican.org/ontology/mbao/MBA_218,MBA:218
LPO,https://purl.brain-bican.org/ontology/mbao/MBA_226,MBA:226
LRN,https://purl.brain-bican.org/ontology/mbao/MBA_235,MBA:235
LRNm,https://purl.brain-bican.org/ontology/mbao/MBA_955,MBA:955
LRNp,https://purl.brain-bican.org/ontology/mbao/MBA_963,MBA:963
LS,https://purl.brain-bican.org/ontology/mbao/MBA_242,MBA:242
LSX,https://purl.brain-bican.org/ontology/mbao/MBA_275,MBA:275
LSc,https://purl.brain-bican.org/ontology/mbao/MBA_250,MBA:250
LSr,https://purl.brain-bican.org/ontology/mbao/MBA_258,MBA:258
LSv,https://purl.brain-bican.org/ontology/mbao/MBA_266,MBA:266
LT,https://purl.brain-bican.org/ontology/mbao/MBA_66,MBA:66
LZ,https://purl.brain-bican.org/ontology/mbao/MBA_290,MBA:290
MA,https://purl.brain-bican.org/ontology/mbao/MBA_298,MBA:298
MA3,https://purl.brain-bican.org/ontology/mbao/MBA_549009211,MBA:549009211
MARN,https://purl.brain-bican.org/ontology/mbao/MBA_307,MBA:307
MB,https://purl.brain-bican.org/ontology/mbao/MBA_313,MBA:313
MBO,https://purl.brain-bican.org/ontology/mbao/MBA_331,MBA:331
MBmot,https://purl.brain-bican.org/ontology/mbao/MBA_323,MBA:323
MBsen,https://purl.brain-bican.org/ontology/mbao/MBA_339,MBA:339
MBsta,https://purl.brain-bican.org/ontology/mbao/MBA_348,MBA:348
MD,https://purl.brain-bican.org/ontology/mbao/MBA_362,MBA:362
MDRN,https://purl.brain-bican.org/ontology/mbao/MBA_395,MBA:395
MDRNd,https://purl.brain-bican.org/ontology/mbao/MBA_1098,MBA:1098
MDRNv,https://purl.brain-bican.org/ontology/mbao/MBA_1107,MBA:1107
ME,https://purl.brain-bican.org/ontology/mbao/MBA_10671,MBA:10671
MEA,https://purl.brain-bican.org/ontology/mbao/MBA_403,MBA:403
MED,https://purl.brain-bican.org/ontology/mbao/MBA_444,MBA:444
MEPO,https://purl.brain-bican.org/ontology/mbao/MBA_452,MBA:452
MEZ,https://purl.brain-bican.org/ontology/mbao/MBA_467,MBA:467
MG,https://purl.brain-bican.org/ontology/mbao/MBA_475,MBA:475
MGd,https://purl.brain-bican.org/ontology/mbao/MBA_1072,MBA:1072
MGm,https://purl.brain-bican.org/ontology/mbao/MBA_1088,MBA:1088
MGv,https://purl.brain-bican.org/ontology/mbao/MBA_1079,MBA:1079
MH,https://purl.brain-bican.org/ontology/mbao/MBA_483,MBA:483
MM,https://purl.brain-bican.org/ontology/mbao/MBA_491,MBA:491
MMd,https://purl.brain-bican.org/ontology/mbao/MBA_606826659,MBA:606826659
MMl,https://purl.brain-bican.org/ontology/mbao/MBA_606826647,MBA:606826647
MMm,https://purl.brain-bican.org/ontology/mbao/MBA_606826651,MBA:606826651
MMme,https://purl.brain-bican.org/ontology/mbao/MBA_732,MBA:732
MO,https://purl.brain-bican.org/ontology/mbao/MBA_500,MBA:500
