subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
154 PF Fzd5 Glut,0,0,0,1,23,0,74,0,0,0,0,0,3961,0,0,0,2,0,5,0,0,2,73,0,0
155 PRC-PAG Pax6 Glut,0,0,0,1,0,0,673,1,0,1,0,0,43,19,0,0,16,1,24,3,0,0,3,0,0
156 MB-ant-ve Dmrta2 Glut,0,0,0,0,105,0,377,0,0,1,0,0,86,0,0,0,0,0,6,14,0,1,17,0,0
157 RN Spp1 Glut,0,0,0,0,0,0,323,0,0,3,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0
158 MRN-PAG Nkx6-1 Glut,0,0,0,0,0,0,142,0,0,8,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
159 IF-RL-CLI-PAG Foxa1 Glut,0,0,0,0,175,0,547,0,0,0,0,0,16,0,0,0,0,0,6,16,0,0,37,0,0
160 PAG-SC Neurod2 Meis2 Glut,1,0,0,0,0,0,997,0,0,3,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0
161 PAG Pou4f3 Glut,1,2,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
162 CUN Evx2 Lhx2 Glut,0,90,0,0,0,0,1464,0,0,10,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
163 APN C1ql2 Glut,0,0,0,15,0,0,1255,0,0,0,0,0,52,0,0,0,21,0,8,0,1,0,0,0,0
164 APN C1ql4 Glut,0,0,0,0,0,0,1359,0,0,0,0,0,75,0,0,0,10,0,16,0,0,0,1,0,0
165 PAG-MRN Pou3f1 Glut,2,0,0,0,0,0,1101,0,0,7,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0
166 MRN Pou3f1 C1ql4 Glut,0,4,0,0,4,0,458,0,0,0,0,0,32,0,0,0,0,0,6,0,0,0,1,0,0
167 PRC-PAG Tcf7l2 Irx2 Glut,2,0,0,1,46,0,1220,0,0,0,0,0,202,7,0,0,14,0,29,0,0,0,13,0,0
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,0,3,0,10,496,0,1908,1,0,0,13,0,2031,23,0,0,40,0,133,0,26,44,101,0,0
169 PAG-SC Pou4f1 Zic1 Glut,0,0,0,0,0,0,3204,0,0,0,0,0,8,1,0,0,1,0,79,0,0,0,0,0,0
170 PAG-MRN Tfap2b Glut,1,24,0,1,2,0,1255,0,0,5,0,0,2,0,4,0,1,0,12,0,0,3,0,0,0
171 PAG Pou4f1 Bnc2 Glut,0,2,0,0,1,0,1022,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
172 PAG Pou4f1 Ebf2 Glut,2,0,0,0,1,0,1990,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
173 PAG Pou4f2 Glut,0,3,0,1,0,0,2754,0,0,0,0,0,3,0,0,0,0,0,51,0,0,0,0,0,0
174 PAG Pou4f2 Mesi2 Glut,3,0,0,0,0,0,1470,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1
175 SC Bnc2 Glut,0,0,0,11,0,6,1561,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,18
176 SCig Foxb1 Glut,1,0,0,27,0,0,3891,0,0,0,0,0,2,0,0,0,24,0,47,0,2,0,0,0,5
177 SCig-an-PPT Foxb1 Glut,0,0,0,8,4,0,1924,0,0,0,0,0,11,0,0,0,7,0,21,0,3,0,0,0,0
178 SCig Foxb1 Otx2 Glut,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
179 SCdg-PAG Tfap2b Glut,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
180 SCiw Pitx2 Glut,0,0,0,0,0,0,2034,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0
181 IC Tfap2d Maf Glut,8,2308,0,3,2,0,28238,0,0,1,0,0,5,0,0,0,15,0,218,0,0,0,0,0,378
182 CUN-PPN Evx2 Meis2 Glut,5,28,0,0,0,0,1911,0,0,418,0,0,0,0,1,0,3,28,122,2,0,0,0,0,1
183 PBG Mtnr1a Glut-Chol,0,0,0,0,0,0,238,0,0,6,0,0,0,0,0,0,3,0,46,0,0,0,0,0,0
184 PAG Tcf24 Glut,0,0,0,0,14,0,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0
185 SCig Tfap2b Chrnb3 Glut,0,0,0,3,0,0,969,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
186 SCop Pou4f2 Neurod2 Glut,0,0,0,1,0,0,373,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
187 SCsg Pde5a Glut,0,0,0,96,0,227,2784,0,0,0,0,0,2,0,0,0,35,0,6,0,3,0,0,0,369
188 SCop Sln Glut,0,0,0,8,0,0,1261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189 PAG Ucn Glut,0,0,0,0,1,0,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190 ND-INC Foxd2 Glut,0,0,0,0,25,0,321,0,0,1,0,0,20,0,0,0,0,0,1,0,0,0,11,0,0
191 PAG-MRN Rln3 Gaba,0,0,0,0,0,0,84,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
192 PPN-CUN-PCG Otp En1 Gaba,0,14,0,0,0,0,847,0,0,401,0,0,0,0,1,0,5,15,113,26,0,0,0,0,0
