ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:564	48672	661	1629	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:566	48672	24	44	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:574	48672	6	11	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:575	48672	2	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:576073699	48672	18	144	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:576073704	48672	75	327	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:581	48672	3212	6920	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:583	48672	13	32	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:589	48672	27	62	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:589508447	48672	6	11	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:596	48672	582	1346	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:614	48672	7	16	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:616	48672	2	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:619	48672	744	1718	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:63	48672	14	73	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:639	48672	1934	3418	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:64	48672	0	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:647	48672	19	43	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:651	48672	3	8	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:661	48672	1	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:672	48672	48	251	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:677	48672	17	29	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:685	48672	0	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:689	48672	69	249	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:693	48672	10	20	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:7	48672	3	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:72	48672	195	571	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:723	48672	8	25	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:726	48672	26	87	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:728	48672	1	7	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_13	owl:NamedIndividual	MBA:731	48672	4	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
