ID	Type	n2o:locatedInOrNear	n_total	n_in_X	n_in_or_near_100	source
ID	TYPE	AI n2o:locatedInOrNear	>AT n2o:typeCellTotal^^xsd:integer	>AT n2o:countInRegion^^xsd:integer	>AT n2o:countInOrNear100um^^xsd:integer	>AI dcterms:source SPLIT=|
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1035	9779	1	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1038	9779	9	15	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1043	9779	6	74	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1045	9779	0	6	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1046	9779	3	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1047	9779	1	5	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1054	9779	6	12	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1058	9779	2	10	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1062	9779	2	16	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1066	9779	2	4	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:10703	9779	10	47	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:10704	9779	9	36	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
WMB:CS20230722_NEUR_Glut_GABA	owl:NamedIndividual	MBA:1081	9779	0	3	doi:10.1038/s41586-023-06812-z|doi:10.1038/s41586-023-06808-9
