ID	Type	cell_count
ID	TYPE	A PCL:0010060^^xsd:integer
WMB:CS20230722_SUBC_260	owl:NamedIndividual	15
WMB:CS20230722_SUBC_240	owl:NamedIndividual	12
WMB:CS20230722_SUBC_289	owl:NamedIndividual	12
WMB:CS20230722_SUBC_258	owl:NamedIndividual	12
WMB:CS20230722_SUBC_249	owl:NamedIndividual	2
WMB:CS20230722_SUPT_1193	owl:NamedIndividual	263210
WMB:CS20230722_SUPT_1160	owl:NamedIndividual	132705
WMB:CS20230722_SUPT_0030	owl:NamedIndividual	79883
WMB:CS20230722_SUPT_0024	owl:NamedIndividual	72967
WMB:CS20230722_SUPT_0277	owl:NamedIndividual	69731
WMB:CS20230722_SUPT_1159	owl:NamedIndividual	59961
WMB:CS20230722_SUPT_1187	owl:NamedIndividual	53602
WMB:CS20230722_SUPT_1180	owl:NamedIndividual	51715
WMB:CS20230722_SUPT_0267	owl:NamedIndividual	48856
WMB:CS20230722_SUPT_1194	owl:NamedIndividual	48745
WMB:CS20230722_SUPT_1191	owl:NamedIndividual	46134
WMB:CS20230722_SUPT_0114	owl:NamedIndividual	45284
WMB:CS20230722_SUPT_0115	owl:NamedIndividual	40751
WMB:CS20230722_SUPT_0014	owl:NamedIndividual	37126
WMB:CS20230722_SUPT_1157	owl:NamedIndividual	29613
WMB:CS20230722_SUPT_1175	owl:NamedIndividual	26948
WMB:CS20230722_SUPT_1192	owl:NamedIndividual	26699
WMB:CS20230722_SUPT_0023	owl:NamedIndividual	25858
WMB:CS20230722_SUPT_0275	owl:NamedIndividual	24462
WMB:CS20230722_SUPT_0032	owl:NamedIndividual	23860
WMB:CS20230722_SUPT_0268	owl:NamedIndividual	22124
WMB:CS20230722_SUPT_0137	owl:NamedIndividual	21781
WMB:CS20230722_SUPT_0150	owl:NamedIndividual	17779
WMB:CS20230722_SUPT_1151	owl:NamedIndividual	17455
WMB:CS20230722_SUPT_0654	owl:NamedIndividual	17364
WMB:CS20230722_SUPT_0151	owl:NamedIndividual	17265
WMB:CS20230722_SUPT_0270	owl:NamedIndividual	16649
WMB:CS20230722_SUPT_0091	owl:NamedIndividual	16101
WMB:CS20230722_SUPT_0207	owl:NamedIndividual	15544
WMB:CS20230722_SUPT_0027	owl:NamedIndividual	15378
WMB:CS20230722_SUPT_0028	owl:NamedIndividual	15060
WMB:CS20230722_SUPT_1188	owl:NamedIndividual	15034
WMB:CS20230722_SUPT_0026	owl:NamedIndividual	14307
WMB:CS20230722_SUPT_0199	owl:NamedIndividual	14162
WMB:CS20230722_SUPT_0953	owl:NamedIndividual	13679
WMB:CS20230722_SUPT_0770	owl:NamedIndividual	13633
WMB:CS20230722_SUPT_0118	owl:NamedIndividual	13503
WMB:CS20230722_SUPT_0069	owl:NamedIndividual	13245
WMB:CS20230722_SUPT_0041	owl:NamedIndividual	13057
WMB:CS20230722_SUPT_0040	owl:NamedIndividual	13013
WMB:CS20230722_SUPT_0001	owl:NamedIndividual	12486
WMB:CS20230722_SUPT_0042	owl:NamedIndividual	12221
WMB:CS20230722_SUPT_1181	owl:NamedIndividual	12207
WMB:CS20230722_SUPT_0208	owl:NamedIndividual	12036
WMB:CS20230722_SUPT_0025	owl:NamedIndividual	11970
WMB:CS20230722_SUPT_0090	owl:NamedIndividual	11487
WMB:CS20230722_SUPT_0050	owl:NamedIndividual	11421
WMB:CS20230722_SUPT_0772	owl:NamedIndividual	11398
WMB:CS20230722_SUPT_0020	owl:NamedIndividual	10611
WMB:CS20230722_SUPT_1179	owl:NamedIndividual	10353
WMB:CS20230722_SUPT_0019	owl:NamedIndividual	10237
WMB:CS20230722_SUPT_0036	owl:NamedIndividual	10208
WMB:CS20230722_SUPT_0088	owl:NamedIndividual	10135
WMB:CS20230722_SUPT_0031	owl:NamedIndividual	9781
WMB:CS20230722_SUPT_1150	owl:NamedIndividual	9358
WMB:CS20230722_SUPT_0139	owl:NamedIndividual	9122
WMB:CS20230722_SUPT_0158	owl:NamedIndividual	9035
WMB:CS20230722_SUPT_0039	owl:NamedIndividual	8909
WMB:CS20230722_SUPT_0029	owl:NamedIndividual	8260
WMB:CS20230722_SUPT_0015	owl:NamedIndividual	8214
WMB:CS20230722_SUPT_0272	owl:NamedIndividual	7408
WMB:CS20230722_SUPT_0085	owl:NamedIndividual	7292
WMB:CS20230722_SUPT_0110	owl:NamedIndividual	7152
WMB:CS20230722_SUPT_0264	owl:NamedIndividual	7108
WMB:CS20230722_SUPT_0979	owl:NamedIndividual	7018
WMB:CS20230722_SUPT_0124	owl:NamedIndividual	6529
WMB:CS20230722_SUPT_0109	owl:NamedIndividual	6277
WMB:CS20230722_SUPT_0003	owl:NamedIndividual	6263
WMB:CS20230722_SUPT_0106	owl:NamedIndividual	6228
WMB:CS20230722_SUPT_0123	owl:NamedIndividual	6225
WMB:CS20230722_SUPT_0111	owl:NamedIndividual	5956
WMB:CS20230722_SUPT_0046	owl:NamedIndividual	5905
WMB:CS20230722_SUPT_0077	owl:NamedIndividual	5733
WMB:CS20230722_SUPT_0021	owl:NamedIndividual	5726
WMB:CS20230722_SUPT_0078	owl:NamedIndividual	5709
WMB:CS20230722_SUPT_1182	owl:NamedIndividual	5708
WMB:CS20230722_SUPT_0435	owl:NamedIndividual	5490
WMB:CS20230722_SUPT_0265	owl:NamedIndividual	5484
WMB:CS20230722_SUPT_0116	owl:NamedIndividual	5415
