ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um	spatial_atlas
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float	>AI n2o:spatialReferenceAtlas
MBA:728	owl:NamedIndividual	MBA:101	82500.002	25.000	2353.439	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:752	195625.006	25.000	419.084	n2o:CCF2020
MBA:752	owl:NamedIndividual	MBA:101	195625.006	25.000	419.084	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:771	430000.013	25.000	807.174	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:101	430000.013	25.000	807.174	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:933	883750.026	25.000	1036.069	n2o:CCF2020
MBA:933	owl:NamedIndividual	MBA:101	883750.026	25.000	1036.069	n2o:CCF2020
MBA:101	owl:NamedIndividual	MBA:96	2171875.065	25.000	957.835	n2o:CCF2020
MBA:96	owl:NamedIndividual	MBA:101	2171875.065	25.000	957.835	n2o:CCF2020
MBA:1011	owl:NamedIndividual	MBA:1018	1108125.033	25.000	1006.034	n2o:CCF2020
MBA:1018	owl:NamedIndividual	MBA:1011	1108125.033	25.000	1006.034	n2o:CCF2020
MBA:1011	owl:NamedIndividual	MBA:378	5951875.177	25.000	1708.775	n2o:CCF2020
MBA:378	owl:NamedIndividual	MBA:1011	5951875.177	25.000	1708.775	n2o:CCF2020
MBA:1011	owl:NamedIndividual	MBA:484682512	1337500.040	25.000	706.649	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:1011	1337500.040	25.000	706.649	n2o:CCF2020
MBA:1017	owl:NamedIndividual	MBA:1025	6439375.192	25.000	1212.133	n2o:CCF2020
MBA:1025	owl:NamedIndividual	MBA:1017	6439375.192	25.000	1212.133	n2o:CCF2020
MBA:1017	owl:NamedIndividual	MBA:1041	209375.006	25.000	2484.271	n2o:CCF2020
MBA:1041	owl:NamedIndividual	MBA:1017	209375.006	25.000	2484.271	n2o:CCF2020
MBA:1017	owl:NamedIndividual	MBA:512	1875.000	25.000	1683.876	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:1017	1875.000	25.000	1683.876	n2o:CCF2020
MBA:1017	owl:NamedIndividual	MBA:728	29769375.887	25.000	672.349	n2o:CCF2020
