ID	Type	n2o:paintedIn	atlas_level
MBA:507	owl:NamedIndividual	n2o:CCF2020	structure
MBA:512	owl:NamedIndividual	n2o:CCF2020	division
MBA:515	owl:NamedIndividual	n2o:CCF2020	structure
MBA:52	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:523	owl:NamedIndividual	n2o:CCF2020	structure
MBA:525	owl:NamedIndividual	n2o:CCF2020	structure
MBA:526	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:533	owl:NamedIndividual	n2o:CCF2020	structure
MBA:534	owl:NamedIndividual	n2o:CCF2020	structure
MBA:536	owl:NamedIndividual	n2o:CCF2020	structure
MBA:538	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:541	owl:NamedIndividual	n2o:CCF2020	structure
MBA:542	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:543	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:544	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:549	owl:NamedIndividual	n2o:CCF2020	division
MBA:549009203	owl:NamedIndividual	n2o:CCF2020	structure
MBA:549009215	owl:NamedIndividual	n2o:CCF2020	structure
MBA:549009223	owl:NamedIndividual	n2o:CCF2020	structure
MBA:551	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:556	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:559	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:56	owl:NamedIndividual	n2o:CCF2020	structure
MBA:560581551	owl:NamedIndividual	n2o:CCF2020	structure
MBA:560581559	owl:NamedIndividual	n2o:CCF2020	structure
MBA:560581563	owl:NamedIndividual	n2o:CCF2020	structure
MBA:563807435	owl:NamedIndividual	n2o:CCF2020	structure
MBA:563807439	owl:NamedIndividual	n2o:CCF2020	structure
MBA:564	owl:NamedIndividual	n2o:CCF2020	structure
MBA:566	owl:NamedIndividual	n2o:CCF2020	structure
MBA:574	owl:NamedIndividual	n2o:CCF2020	structure
MBA:575	owl:NamedIndividual	n2o:CCF2020	structure
MBA:576073699	owl:NamedIndividual	n2o:CCF2020	structure
MBA:576073704	owl:NamedIndividual	n2o:CCF2020	structure
MBA:580	owl:NamedIndividual	n2o:CCF2020	structure
MBA:581	owl:NamedIndividual	n2o:CCF2020	structure
MBA:582	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:583	owl:NamedIndividual	n2o:CCF2020	structure
MBA:587	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:589	owl:NamedIndividual	n2o:CCF2020	structure
MBA:589508447	owl:NamedIndividual	n2o:CCF2020	structure
MBA:589508455	owl:NamedIndividual	n2o:CCF2020	structure
MBA:59	owl:NamedIndividual	n2o:CCF2020	structure
MBA:590	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:591	owl:NamedIndividual	n2o:CCF2020	structure
MBA:593	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:595	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:596	owl:NamedIndividual	n2o:CCF2020	structure
MBA:597	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:599	owl:NamedIndividual	n2o:CCF2020	structure
MBA:599626923	owl:NamedIndividual	n2o:CCF2020	structure
MBA:599626927	owl:NamedIndividual	n2o:CCF2020	structure
MBA:6	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:603	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:604	owl:NamedIndividual	n2o:CCF2020	structure
MBA:605	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:606826647	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:606826651	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:606826659	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:606826663	owl:NamedIndividual	n2o:CCF2020	structure
MBA:607344830	owl:NamedIndividual	n2o:CCF2020	structure
MBA:607344834	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:607344838	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:607344842	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:607344846	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:607344850	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:607344854	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:607344858	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:608	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:609	owl:NamedIndividual	n2o:CCF2020	structure
MBA:610	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:611	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:612	owl:NamedIndividual	n2o:CCF2020	structure
MBA:614	owl:NamedIndividual	n2o:CCF2020	structure
MBA:614454277	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:616	owl:NamedIndividual	n2o:CCF2020	structure
MBA:619	owl:NamedIndividual	n2o:CCF2020	structure
MBA:62	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:620	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:621	owl:NamedIndividual	n2o:CCF2020	structure
MBA:628	owl:NamedIndividual	n2o:CCF2020	structure
MBA:629	owl:NamedIndividual	n2o:CCF2020	structure
MBA:63	owl:NamedIndividual	n2o:CCF2020	structure
MBA:630	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:632	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:633	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:634	owl:NamedIndividual	n2o:CCF2020	structure
MBA:638	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:639	owl:NamedIndividual	n2o:CCF2020	structure
MBA:64	owl:NamedIndividual	n2o:CCF2020	structure
MBA:642	owl:NamedIndividual	n2o:CCF2020	structure
MBA:647	owl:NamedIndividual	n2o:CCF2020	structure
MBA:648	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:651	owl:NamedIndividual	n2o:CCF2020	structure
MBA:653	owl:NamedIndividual	n2o:CCF2020	structure
MBA:655	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:656	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:657	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:658	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:66	owl:NamedIndividual	n2o:CCF2020	structure
MBA:661	owl:NamedIndividual	n2o:CCF2020	structure
MBA:662	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:663	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:664	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:665	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:67	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:671	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:672	owl:NamedIndividual	n2o:CCF2020	structure
MBA:673	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:677	owl:NamedIndividual	n2o:CCF2020	structure
MBA:679	owl:NamedIndividual	n2o:CCF2020	structure
MBA:685	owl:NamedIndividual	n2o:CCF2020	structure
MBA:687	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:689	owl:NamedIndividual	n2o:CCF2020	structure
MBA:690	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:692	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:693	owl:NamedIndividual	n2o:CCF2020	structure
MBA:694	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:697	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:698	owl:NamedIndividual	n2o:CCF2020	division
MBA:7	owl:NamedIndividual	n2o:CCF2020	structure
MBA:703	owl:NamedIndividual	n2o:CCF2020	division
MBA:706	owl:NamedIndividual	n2o:CCF2020	structure
MBA:707	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:711	owl:NamedIndividual	n2o:CCF2020	structure
