ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:754	143	0.016643	236		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:773	85	0.009893	142		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:776	2	0.000233	87		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:784	80	0.009311	162		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:795	22	0.002561	175		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:824	8	0.000931	280		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:832	14	0.001629	94		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:839	85	0.009893	206		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:852	185	0.021532	426		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:863	18	0.002095	112		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:867	79	0.009195	162		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:874	119	0.013850	204		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:898	29	0.003375	75		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:933	46	0.005354	106		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:978	39	0.004539	129		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:998	14	0.001629	80		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:114	38	0.004423	51		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:326	14	0.001629	106		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:484682516	1	0.000116	51		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:50	0	0.000000	125		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:559	18	0.002095	52		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:595	0	0.000000	74		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:6	80	0.009311	162		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:611	1	0.000116	155		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:62	14	0.001629	94		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Chol	owl:NamedIndividual	MBA:658	46	0.005354	99		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1000	117	0.014009	511		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1097	1201	0.143798	1727		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:129	25	0.002993	234		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:140	5	0.000599	54		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:313	3826	0.458094	4353		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:315	33	0.003951	93		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:549	17	0.002035	93		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:698	1782	0.213362	2454		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:771	126	0.015086	229		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:960	10	0.001197	65		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:967	993	0.118894	2242		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:983	28	0.003352	124		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:991	77	0.009219	635		n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1009	1225	0.146671	3403	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1065	141	0.016882	231	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1083	10	0.001197	112	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1117	46	0.005508	131	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1129	1218	0.145833	1789	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:1132	27	0.003233	64	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:141	275	0.032926	427	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:157	170	0.020354	284	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:165	702	0.084052	1185	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:290	183	0.021911	473	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:323	1370	0.164033	2849	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:331	97	0.011614	222	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:343	5185	0.620809	5557	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:348	946	0.113266	2055	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:46	16	0.001916	188	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:467	334	0.039990	805	exact	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:567	1850	0.221504	2511	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
WMB:CS20230722_NEUR_Dopa	owl:NamedIndividual	MBA:623	33	0.003951	61	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06812-z
