ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:669	72	0.027108	110	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:688	2645	0.995858	2656	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:695	2627	0.989081	2649	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:8	2645	0.995858	2656	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:822	1801	0.678087	1964	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:909	1764	0.664157	1952	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:942	15	0.005648	84	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:95	182	0.068524	216	exact	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:997	2655	0.999623	2656	lower_bound	n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:111	172	0.064759	204		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:312782628	62	0.023343	91		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:502	27	0.010166	113		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:541	79	0.029744	129		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:566	23	0.008660	57		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:677	28	0.010542	46		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:768	2	0.000753	66		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:776	8	0.003012	148		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:895	290	0.109187	439		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:918	1320	0.496988	1661		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:922	115	0.043298	305		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:926	444	0.167169	724		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:952	15	0.005648	67		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_003	owl:NamedIndividual	MBA:961	16	0.006024	40		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
