cluster,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0120 L2/3 IT CTX Glut_4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0121 L2/3 IT ENT Glut_1,0,0,5,116,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0122 L2/3 IT ENT Glut_1,0,0,59,509,0,3,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0123 L2/3 IT ENT Glut_1,0,0,2,109,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0124 L2/3 IT ENT Glut_2,0,0,0,45,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125 L2/3 IT ENT Glut_2,0,0,0,96,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0126 L2/3 IT ENT Glut_2,0,0,0,265,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0127 L2/3 IT ENT Glut_3,0,0,0,75,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0128 L2/3 IT ENT Glut_3,0,0,6,561,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0129 L2/3 IT ENT Glut_3,0,0,1,277,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0130 L2/3 IT ENT Glut_4,0,0,0,5350,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0131 L2/3 IT ENT Glut_4,0,0,0,318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0132 L2/3 IT ENT Glut_4,0,0,1,3457,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0133 L2/3 IT ENT Glut_5,0,0,0,373,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0134 L2/3 IT ENT Glut_5,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0135 L2/3 IT ENT Glut_5,0,0,1,871,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0136 L2/3 IT ENT Glut_6,0,0,0,167,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0137 L2/3 IT ENT Glut_6,0,0,0,185,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0138 L2/3 IT PIR-ENTl Glut_1,0,0,13,182,0,32,0,0,3891,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0139 L2/3 IT PIR-ENTl Glut_1,0,0,7,164,0,12,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0140 L2/3 IT PIR-ENTl Glut_1,0,0,5,14,0,1,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0141 L2/3 IT PIR-ENTl Glut_1,0,0,7,1,0,2,0,0,1244,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0142 L2/3 IT PIR-ENTl Glut_1,0,0,3,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0143 L2/3 IT PIR-ENTl Glut_1,0,0,1,1,0,2,0,0,108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0144 L2/3 IT PIR-ENTl Glut_2,0,0,7,13,0,5,0,0,3038,0,1,118,0,0,0,0,0,0,0,0,0,1,0,0
0145 L2/3 IT PIR-ENTl Glut_2,0,0,7,16,0,1,0,0,1045,0,0,12,0,0,0,0,0,0,1,0,0,1,0,0
0146 L2/3 IT PIR-ENTl Glut_2,0,0,2,7,0,10,0,1,2717,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0147 L2/3 IT PIR-ENTl Glut_2,0,0,4,32,0,14,0,0,1783,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0
0148 L2/3 IT PIR-ENTl Glut_2,0,0,1,5,0,4,0,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0149 L2/3 IT PIR-ENTl Glut_3,0,0,1,35,0,2,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0150 L2/3 IT PIR-ENTl Glut_3,0,0,3,9,0,57,0,0,2150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0151 L2/3 IT PIR-ENTl Glut_3,0,0,0,0,0,1,0,0,174,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0152 L2/3 IT PIR-ENTl Glut_3,0,0,2,25,0,2,0,0,1102,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0153 L2/3 IT PIR-ENTl Glut_3,0,0,0,0,0,7,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0154 L2/3 IT PIR-ENTl Glut_3,0,0,2,1,0,5,0,0,782,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0155 L2/3 IT PIR-ENTl Glut_4,0,0,0,1114,0,3,0,0,179,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0156 L2/3 IT PIR-ENTl Glut_4,0,0,3,111,0,25,0,0,7587,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0
0157 L2/3 IT PIR-ENTl Glut_4,0,0,2,150,0,0,0,0,1400,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0158 L2/3 IT PIR-ENTl Glut_4,0,0,0,1355,0,34,0,0,241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0159 L2/3 IT PIR-ENTl Glut_4,0,0,0,160,0,1,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0160 L2/3 IT PIR-ENTl Glut_4,0,0,24,44,0,1,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0161 L2/3 IT PIR-ENTl Glut_5,0,0,6,88,0,1,0,0,116,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0162 L2/3 IT PIR-ENTl Glut_6,0,0,6,10,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0163 L2/3 IT PIR-ENTl Glut_6,0,0,1,19,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0164 L2/3 IT PIR-ENTl Glut_7,0,0,30,2,0,1,0,0,198,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0
0165 L2/3 IT PIR-ENTl Glut_7,0,0,974,7,0,20,0,0,965,0,1,587,1,0,0,0,0,0,8,0,0,166,38,0
0166 IT AON-TT-DP Glut_1,0,0,0,0,0,4,0,0,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0167 IT AON-TT-DP Glut_1,0,0,0,0,0,37,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0168 IT AON-TT-DP Glut_1,0,0,2,1,0,31,0,0,189,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0169 IT AON-TT-DP Glut_1,0,0,0,1,0,107,0,0,707,0,0,16,0,0,0,0,0,0,0,0,0,17,0,0
0170 IT AON-TT-DP Glut_1,0,0,0,0,0,6,0,0,1969,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
0171 IT AON-TT-DP Glut_2,0,0,9,0,0,0,0,0,3170,0,0,43,0,0,0,0,0,0,30,0,0,1,0,0
0172 IT AON-TT-DP Glut_2,0,0,1,0,0,2,0,0,705,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0173 IT AON-TT-DP Glut_2,0,0,1,0,0,0,0,0,416,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0
0174 IT AON-TT-DP Glut_2,0,0,0,1,0,0,0,0,53,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
0175 IT AON-TT-DP Glut_3,0,0,0,0,0,1,0,0,1207,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0
0176 IT AON-TT-DP Glut_3,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
0177 IT AON-TT-DP Glut_3,0,0,0,0,0,0,0,0,1530,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0
0178 IT AON-TT-DP Glut_3,0,0,0,0,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0
0179 IT AON-TT-DP Glut_4,0,0,0,0,0,0,0,0,85,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
0180 IT AON-TT-DP Glut_4,0,0,18,0,0,1,0,0,538,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0
0181 IT AON-TT-DP Glut_4,0,0,1,0,0,0,0,0,344,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
0182 IT AON-TT-DP Glut_5,0,0,0,0,0,1,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0183 IT AON-TT-DP Glut_5,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
0184 IT AON-TT-DP Glut_5,0,0,7,2,1,9,0,0,11474,0,0,4,0,0,0,0,0,0,857,0,0,1,0,0
0185 IT AON-TT-DP Glut_5,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
0186 L2 IT ENT-po Glut_1,0,0,0,143,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0187 L2 IT ENT-po Glut_1,0,0,0,803,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0188 L2 IT ENT-po Glut_2,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0189 L2 IT ENT-po Glut_2,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0190 L2 IT ENT-po Glut_3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0191 L2 IT ENT-po Glut_4,0,0,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0192 MEA Slc17a7 Glut_1,0,0,44,3,0,0,0,0,0,0,0,26,0,0,0,11,8,0,0,0,6,0,21,0
0193 MEA Slc17a7 Glut_1,0,0,347,2,0,0,0,0,0,0,0,158,0,0,0,1,3,0,0,0,4,0,4,0
0194 MEA Slc17a7 Glut_1,0,0,70,0,0,0,0,0,3,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0
0195 MEA Slc17a7 Glut_1,0,0,83,0,0,0,0,0,4,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0
0196 MEA Slc17a7 Glut_1,0,0,112,10,0,0,0,0,0,0,0,193,0,0,0,0,6,0,0,0,2,0,15,0
0197 MEA Slc17a7 Glut_1,0,0,4,10,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,5,0,0,0
0198 MEA Slc17a7 Glut_1,0,0,58,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0199 MEA Slc17a7 Glut_1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0200 MEA Slc17a7 Glut_1,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0201 MEA Slc17a7 Glut_2,0,0,19,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
