subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
101 ZI Pax6 Gaba,0,0,0,2,2854,2,449,19,4,7,77,2,767,1,0,1,1,0,3,56,82,100,64,0
102 DMH-LHA Gsx1 Gaba,0,0,0,1,1412,0,1,0,0,1,13,1,2,1,0,0,1,0,0,6,5,4,29,0
103 PVHd-DMH Lhx6 Gaba,0,0,0,0,565,0,11,0,0,2,3,0,19,9,0,0,0,0,0,3,3,1,9,0
104 TU-ARH Otp Six6 Gaba,3,0,0,2,2351,0,2,0,0,0,4,2,2,61,3,6,15,0,1,0,13,1,13,0
105 TMd-DMH Foxd2 Gaba,0,0,3,0,220,0,1,0,28,0,2,1,0,2,0,1,1,0,2,0,0,0,0,0
106 PVpo-VMPO-MPN Hmx2 Gaba,0,0,0,0,2840,0,0,0,0,0,94,6,0,54,0,0,30,0,227,0,89,0,1,0
107 DMH Hmx2 Gaba,0,3,0,0,1628,0,1,0,0,1,2,0,5,0,0,0,0,0,4,0,10,0,35,0
108 ARH-PVp Tbx3 Gaba,0,0,0,0,514,0,0,0,0,0,1,0,0,13,0,0,2,0,0,0,0,0,0,0
109 LGv-ZI Otx2 Gaba,0,0,0,13,95,0,28,1,0,2,7,16,477,4,0,3,4,0,3,0,60,37,19,0
110 BST-po Iigp1 Glut,0,0,0,0,8,1,0,0,6,0,149,6,193,2,0,28,29,0,0,0,1,0,28,0
111 TRS-BAC Sln Glut,0,0,0,11,134,0,0,0,3,0,3157,1224,93,262,0,1,100,0,6,0,99,0,1050,0
112 GPi Tbr1 Cngb3 Gaba-Glut,0,0,1,0,57,0,2,0,2,0,89,0,0,0,0,0,0,0,0,5,2,14,0,0
113 MEA-COA-BMA Ccdc42 Glut,1,28,979,52,104,185,65,42,806,22,55,2583,18,16,17,56,37,8,33,1,4,4,20,0
114 COAa-PAA-MEA Barhl2 Glut,0,3,865,87,67,38,5,3,2104,27,52,700,2,0,0,4,8,0,16,1,0,12,30,2
115 MS-SF Bsx Glut,0,0,1,1,124,14,1,0,34,0,419,799,0,9,0,4,14,0,3,0,6,12,34,0
116 AVPV-MEPO-SFO Tbr1 Glut,0,0,0,0,1428,0,0,0,9,3,82,65,0,173,0,7,26,0,83,0,40,0,25,0
117 LHA Barhl2 Glut,0,0,0,0,730,0,0,0,3,0,39,9,74,1,0,0,0,0,10,5,6,0,51,0
118 ADP-MPO Trp73 Glut,0,0,0,0,794,3,0,0,52,0,171,90,12,2,0,0,2,0,8,2,7,1,20,0
119 SI-MA-LPO-LHA Skor1 Glut,0,0,11,0,1057,0,1,0,51,0,1257,516,3,0,0,1,5,0,0,0,4,0,19,0
120 MEA Otp Foxp2 Glut,0,0,6,0,16,0,0,0,74,0,12,318,0,0,0,1,0,0,0,0,0,0,0,0
121 MEA-BST Otp Zic2 Glut,0,0,1,1,60,1,0,0,0,0,86,97,2,1,0,2,3,0,2,0,7,0,9,0
122 LHA-MEA Otp Glut,0,0,0,0,78,0,0,0,2,0,20,66,0,0,0,1,0,0,0,0,0,0,2,0
123 DMH Nkx2-4 Glut,0,2,0,0,633,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124 MPN-MPO-PVpo Hmx2 Glut,0,0,0,0,1039,0,0,0,0,0,30,3,0,11,0,0,3,0,35,0,16,0,0,0
