supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0179 Vip Gaba_7,0,0,11,196,1,22,0,0,7,0,0,5,0,1,0,1,0,0,0,0,0,2,1,0
0180 Vip Gaba_8,0,0,8,31,0,216,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4
0181 Vip Gaba_9,0,0,17,121,0,37,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,5,2,0
0182 Vip Gaba_10,0,0,1,4,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
0183 Vip Gaba_11,0,0,3,18,0,593,0,0,13,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0
0184 Vip Gaba_12,0,0,4,43,0,1289,0,0,69,0,1,5,0,0,0,0,0,0,0,0,0,2,1,0
0185 Sncg Gaba_1,0,0,66,148,0,205,0,0,102,0,1,14,0,0,0,1,1,0,1,0,0,4,5,1
0186 Sncg Gaba_2,0,0,6,17,0,379,0,0,32,0,0,3,0,0,0,0,0,0,3,0,0,33,30,20
0187 Sncg Gaba_3,0,0,94,273,0,1124,0,0,171,0,1,17,1,0,0,0,1,0,3,0,0,10,17,6
0188 Sncg Gaba_4,0,0,70,341,0,471,0,0,179,0,0,18,0,0,0,1,2,0,5,0,0,39,27,10
0189 Sncg Gaba_5,0,0,26,250,0,64,1,0,22,0,0,1,0,0,0,1,1,0,1,0,2,32,43,9
0190 Sncg Gaba_6,0,0,39,113,0,669,0,0,113,0,0,8,0,0,0,0,0,0,4,0,0,26,13,14
0191 Sncg Gaba_7,0,0,2,1,0,50,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3
0192 Sncg Gaba_8,0,0,7,20,0,142,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0
0193 RHP-COA Ndnf Gaba_1,0,0,4,433,0,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
0194 RHP-COA Ndnf Gaba_2,0,0,30,5,1,5,0,0,112,0,4,23,0,0,0,0,1,0,0,0,0,0,0,0
0195 RHP-COA Ndnf Gaba_3,0,0,25,302,0,12,0,0,110,0,0,22,0,1,0,2,4,0,5,0,1,6,4,0
0196 RHP-COA Ndnf Gaba_4,0,0,2,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
0197 RHP-COA Ndnf Gaba_5,0,0,2,180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0
0198 RHP-COA Ndnf Gaba_6,0,0,14,381,0,5,0,0,5,0,0,6,0,0,0,1,3,0,1,0,2,19,36,0
0199 Lamp5 Gaba_1,0,0,405,1529,7,10375,15,0,1690,0,45,337,11,0,0,2,29,0,78,0,6,132,63,78
0200 Lamp5 Gaba_2,0,0,3,72,0,1144,0,0,41,0,2,2,0,0,0,0,0,0,1,0,0,3,1,0
0201 Lamp5 Gaba_3,0,0,2,26,0,696,0,0,17,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0
0202 Lamp5 Gaba_4,0,0,6,13,0,403,0,0,25,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0
0203 Lamp5 Lhx6 Gaba_1,0,0,357,2896,3,511,5,0,213,0,7,105,3,4,0,10,38,0,2,0,6,180,143,63
0204 Pvalb chandelier Gaba_1,0,0,328,730,0,1067,1,0,663,0,0,113,0,0,0,4,0,0,1,0,1,27,14,12
